Actual_Total LUTs,Pred_Total LUTs
0.6579,0.75749856
7.9192,7.942105
6.141,3.378578
5.4774,5.4381957
0.7914,1.0038514
0.7274,0.958451
1.2575,1.2020531
1.3609,1.3236452
13.4004,10.112071
7.295100000000001,6.5905647
6.1128,6.1446495
0.7143,0.7459902
1.2481,1.7691547
3.7368,2.15401
0.8008,0.8020007
1.8402000000000003,1.8399143
7.295100000000001,7.2946596
13.4004,13.395364
2.1335,2.1323998
6.1767,6.174884
1.8402000000000003,1.8399143
4.9154,4.9174814
4.9154,4.9174814
6.1767,6.174884
13.4004,13.356449
7.295100000000001,6.945135
1.8402000000000003,1.8399143
7.295100000000001,7.2946596
1.8402000000000003,1.8399143
