Repo,NodeName,ImgDim (dimensions flattened),NumChannels,Padding (dimensions flattened),SIMD,inputDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,FMPadding_hls_0,1024,4,1,2,8,0.2105,0.2105,0.0,0,0.1165,0.0,0.0,0.0
t1w2_5000fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t1w2_500fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t1w4_50000fps_u,FMPadding_hls_0,1024,4,1,2,8,0.2105,0.2105,0.0,0,0.1165,0.0,0.0,0.0
t1w4_5000fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t1w4_500fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t1w8_50000fps_u,FMPadding_hls_0,1024,4,1,2,8,0.2105,0.2105,0.0,0,0.1165,0.0,0.0,0.0
t1w8_5000fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t1w8_500fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t2w2_50000fps_u,FMPadding_hls_0,1024,4,1,2,8,0.2105,0.2105,0.0,0,0.1165,0.0,0.0,0.0
t2w2_50000fps_u,FMPadding_hls_1,256,16,1,4,2,0.1673,0.1673,0.0,0,0.0836,0.0,0.0,0.0
t2w2_50000fps_u,FMPadding_hls_2,64,8,1,1,2,0.1353,0.1353,0.0,0,0.0583,0.0,0.0,0.0
t2w2_50000fps_u,FMPadding_hls_3,16,16,1,1,2,0.1335,0.1335,0.0,0,0.0564,0.0,0.0,0.0
t2w2_5000fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t2w2_5000fps_u,FMPadding_hls_1,256,16,1,1,2,0.1635,0.1635,0.0,0,0.0667,0.0,0.0,0.0
t2w2_5000fps_u,FMPadding_hls_2,64,8,1,1,2,0.1353,0.1353,0.0,0,0.0583,0.0,0.0,0.0
t2w2_5000fps_u,FMPadding_hls_3,16,16,1,1,2,0.1335,0.1335,0.0,0,0.0564,0.0,0.0,0.0
t2w2_500fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t2w2_500fps_u,FMPadding_hls_1,256,16,1,1,2,0.1635,0.1635,0.0,0,0.0667,0.0,0.0,0.0
t2w2_500fps_u,FMPadding_hls_2,64,8,1,1,2,0.1353,0.1353,0.0,0,0.0583,0.0,0.0,0.0
t2w2_500fps_u,FMPadding_hls_3,16,16,1,1,2,0.1335,0.1335,0.0,0,0.0564,0.0,0.0,0.0
t2w4_50000fps_u,FMPadding_hls_0,1024,4,1,2,8,0.2105,0.2105,0.0,0,0.1165,0.0,0.0,0.0
t2w4_50000fps_u,FMPadding_hls_1,256,16,1,4,4,0.1974,0.1974,0.0,0,0.1137,0.0,0.0,0.0
t2w4_50000fps_u,FMPadding_hls_2,64,8,1,1,4,0.1391,0.1391,0.0,0,0.0658,0.0,0.0,0.0
t2w4_50000fps_u,FMPadding_hls_3,16,16,1,1,4,0.1335,0.1335,0.0,0,0.0639,0.0,0.0,0.0
t2w4_5000fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t2w4_5000fps_u,FMPadding_hls_1,256,16,1,1,4,0.1692,0.1692,0.0,0,0.0742,0.0,0.0,0.0
t2w4_5000fps_u,FMPadding_hls_2,64,8,1,1,4,0.1391,0.1391,0.0,0,0.0658,0.0,0.0,0.0
t2w4_5000fps_u,FMPadding_hls_3,16,16,1,1,4,0.1335,0.1335,0.0,0,0.0639,0.0,0.0,0.0
t2w4_500fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t2w4_500fps_u,FMPadding_hls_1,256,16,1,1,4,0.1692,0.1692,0.0,0,0.0742,0.0,0.0,0.0
t2w4_500fps_u,FMPadding_hls_2,64,8,1,1,4,0.1391,0.1391,0.0,0,0.0658,0.0,0.0,0.0
t2w4_500fps_u,FMPadding_hls_3,16,16,1,1,4,0.1335,0.1335,0.0,0,0.0639,0.0,0.0,0.0
t2w8_5000fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t2w8_5000fps_u,FMPadding_hls_1,256,16,1,1,8,0.1842,0.1842,0.0,0,0.0893,0.0,0.0,0.0
t2w8_5000fps_u,FMPadding_hls_2,64,8,1,1,8,0.156,0.156,0.0,0,0.0808,0.0,0.0,0.0
t2w8_5000fps_u,FMPadding_hls_3,16,16,1,1,8,0.1504,0.1504,0.0,0,0.0789,0.0,0.0,0.0
t2w8_500fps_u,FMPadding_hls_0,1024,4,1,1,8,0.1861,0.1861,0.0,0,0.0893,0.0,0.0,0.0
t2w8_500fps_u,FMPadding_hls_1,256,16,1,1,8,0.1842,0.1842,0.0,0,0.0893,0.0,0.0,0.0
t2w8_500fps_u,FMPadding_hls_2,64,8,1,1,8,0.156,0.156,0.0,0,0.0808,0.0,0.0,0.0
t2w8_500fps_u,FMPadding_hls_3,16,16,1,1,8,0.1504,0.1504,0.0,0,0.0789,0.0,0.0,0.0
