Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
6.4041,6.4041,0.0,4.7472,2.8571,0.0,0.0,1.4755298,2.918205,0.00036947217,1.3835204,0.1788109,0.21529299,0.6707452
0.6579,0.5921,0.2011,0.5808,0.0,0.0,0.0,0.8812515,0.615239,0.12529764,0.89315754,0.47663522,0.04966592,-0.00087391026
5.0602,5.0602,0.0,4.1184,0.7143,0.0,0.0,2.9758375,2.8032012,-0.00030901868,2.1756926,0.4202277,0.183558,0.0024555572
8.7538,8.7538,0.0,4.1184,2.8571,0.0,0.0,2.0485365,3.0502136,0.0004199526,1.2126694,0.49565047,0.2603061,0.09868677
1.391,1.282,0.3333,0.9944,0.0,0.0,0.0,1.197103,1.9090409,0.04650953,1.2533273,0.8037741,0.10977419,0.39586458
7.938,7.938,0.0,8.0686,1.4286,0.0,0.0,8.202145,8.004796,-0.00032493178,7.7303476,1.4766325,0.0005028617,0.001358685
51.2801,51.2801,0.0,4.9756,6.4286,0.0,45.4545,6.35609,6.109249,8.942592e-05,1.2782459,0.31384328,0.20962672,2.3560784
5.7857,5.7857,0.0,1.3055,1.4286,0.3571,10.0,5.859033,5.666284,0.00025333237,1.1537851,-0.1872115,0.24102126,5.7864475
11.6015,11.6015,0.0,15.9126,2.8571,0.0,0.9090999999999999,12.22551,12.2462015,-0.0006514067,15.054923,3.289237,-0.002799807,0.48558596
3.6071,3.6071,0.0,3.0648000000000004,1.4286,0.0,0.0,1.4354658,2.743765,0.0003604476,1.254975,0.13441354,0.23581983,0.7350984
1.5395,1.5395000000000003,0.0,1.3092,0.7143,0.0,0.0,2.0983236,1.8847553,0.060663152,2.202497,0.7299582,0.07318819,1.1702099
0.5733,0.5733,0.0,0.328,0.0,0.3571,0.0,0.56957644,0.79498917,-0.00023855838,0.2718517,-0.09434146,0.35974753,0.0010312042
0.7914,0.7914,0.0,0.4624,0.0,0.3571,0.0,1.4096037,1.3942184,-6.743783e-05,0.46774566,0.19700481,0.3400454,0.012080869
0.5169,0.5169,0.0,0.219,0.0,0.3571,0.0,0.58699644,0.57658255,-0.00024494488,0.18822898,0.13235748,0.38270435,0.010599448
7.142900000000001,7.1429,0.0,3.5094,2.1429,0.0,0.0,2.1100235,2.9284952,0.00041264607,1.16248,0.5213586,0.27099276,0.10977422
2.7932,2.7932,0.0,1.9981000000000002,1.4286,0.0,0.0,3.7264414,3.5019944,0.00090476114,2.1843739,2.6481464,0.23603243,1.696215
0.9117,0.9116999999999998,0.0,0.5141,0.0,0.3571,0.0,3.032228,3.0039825,-0.00011588401,1.5754728,4.0189652,0.24867477,-0.00044937295
1.2744,1.2744,0.0,0.7829,0.0,0.3571,0.0,3.7607617,3.4632363,-3.7608526e-05,1.9663576,4.442263,0.24452697,-0.00018883508
0.5207,0.5207,0.0,0.3139,0.0,0.3571,0.0,1.0802294,0.88640755,-5.0676517e-05,0.6161216,1.9464041,0.46140155,-0.04839791
